aahe: aahed
lswe: alsweill
swei: alsweill
lswi: alswith
ltaz: altazimuth
lveu: alveus
alzh: alzheimer
lzhe: alzheimer
zhei: alzheimer
maas: amaas
maet: amaethon
amaf: amafingo
mbip: ambiparous
lyap: amblyaphia
blyd: amblydactyla
blyr: amblyrhynchus
mcho: amchoor
amdt: amdt
meen: ameen
meiv: ameiva
ystl: amethystlike
mher: amherstite
amhr: amhran
mhra: amhran
gdop: amygdophenin
myou: amyous
tabh: amitabha
amyt: amytal
amix: amixia
mlac: amlacra
mlon: amlong
mmio: ammiolite
mmir: ammiral
nioj: ammoniojarosite
ioja: ammoniojarosite
nioa: amnioallantoic
moby: amobyr
obyr: amobyr
moib: amoibite
oibi: amoibite
orua: amorua
amow: amowt
apny: ampelograpny
clex: ampheclexis
mpyc: ampyces
mtma: amtman
mtme: amtmen
uchc: amuchco
muei: amueixa
ueix: amueixa
eixa: amueixa
usgo: amusgo
muze: amuze
amvi: amvis
mvis: amvis
adyo: anadyomene
dyom: anadyomene
ahao: anahao
nakr: anakrousis
ktor: anaktoron
lgiz: analgize
ytiq: analytique
gice: analogice
nany: ananym
tyxe: anaptyxes
asaz: anasazi
ifae: anatifae
hovy: anchovy
crao: ancraophobia
aoph: ancraophobia
ndhr: andhra
wsit: andrewsite
oclc: androclclinia
ezeh: anezeh
geyo: angeyok
kkok: angekkok
geko: angekok
ekok: angekok
geku: angekut
ngkh: angkhak
gkha: angkhak
edoz: angledozer
gsts: angsts
gwic: angwich
ouid: anhalouidine
anib: aniba
anyh: anyhow
soic: anisoiconia
nyti: anytime
ywhy: anywhy
ywit: anywither
nkhs: ankhs
kylu: ankylurethria
nkyr: ankyroid
klej: anklejack
nklu: anklung
nexm: annexment
noym: annoyment
xysc: anoxyscope
ntbi: antbird
efeb: antefebrile
tehy: antehypophysis
tehi: antehistoric
teje: antejentacular
ejen: antejentacular
rioy: anterioyancer
ioya: anterioyancer
nanu: antesignanus
tevo: antevocalic
nthd: anthdia
thdi: anthdia
hemw: anthemwise
okya: anthokyan
adiq: anthradiquinone
aruf: anthrarufin
ohop: anthrohopobiological
opoz: anthropozoic
ntht: anththeridia
iadm: antiadministration
iaes: antiaesthetic
tiai: antiaircraft
iamu: antiamusement
ianx: antianxiety
tiaq: antiaquatic
ibig: antibigotry
ibox: antiboxing
ibug: antibug
icln: anticlnoria
clno: anticlnoria
idru: antidrug
tiey: antieyestrain
tiej: antiejaculation
ieja: antiejaculation
tieu: antieugenic
ifir: antifire
igug: antiguggler
ihid: antihidrotic
ihyl: antihylist
ihuf: antihuff
ihun: antihunting
ntij: antijam
tija: antijam
nsiu: antimensium
tioz: antiozonant
yics: antipyics
ipyo: antipyonin
tipn: antipneumococcic
quum: antiquum
irum: antirumor
iteg: antitegula
titw: antitwilight
tiua: antiuating
iuat: antiuating
iusu: antiusurious
iwed: antiwedge
ntix: antixerophthalmic
antp: antproof
antt: antthrush
ntth: antthrush
nusv: anusvara
usva: anusvara
aogi: aogiri
aoif: aoife
aosm: aosmic
aotu: aotus
pabh: apabhramsa
abhr: apabhramsa
bhra: apabhramsa
astt: apasttra
dlio: aphidlion
slio: aphislion
hriz: aphrizite
oect: apicoectomy
apyo: apyonin
apip: apiphobia
apjo: apjohnite
pjoh: apjohnite
poat: apoatropine
haln: apocryphalness
odix: apodixis
gaic: apogaic
apoj: apojove
pojo: apojove
ojov: apojove
ytik: apolytikion
enpt: apopenptic
npti: apopenptic
hyee: apophyeeal
yeea: apophyeeal
rhao: aporrhaoid
haoi: aporrhaoid
aoid: aporrhaoid
hieg: aporrhiegma
thgm: apothgm
xyom: apoxyomenos
pozy: apozymase
ppay: appay
appd: appd
penz: appenzell
ejoh: applejohn
appm: appmt
ppmt: appmt
appp: apppetible
pppe: apppetible
pptd: apptd
ppui: appui
ryge: apteryges
uafe: aquafer
uagr: aquagreen
uaph: aquaphobia
ueog: aqueoglacial
ueoi: aqueoigneous
eoig: aqueoigneous
ueom: aqueomercurial
uicl: aquiclude
iclu: aquiclude
uifu: aquifuge
iaep: araliaephyllum
nzad: aranzada
quaj: araquaju
uaju: araquaju
rauj: araujia
ujia: araujia
arbt: arbtrn
rbtr: arbtrn
btrn: arbtrn
arcb: arcboutant
rcbo: arcboutant
cbou: arcboutant
arcf: arcform
rcfo: arcform
cfor: arcform
hbuf: archbuffoon
hchr: archchronicler
chci: archcity
hcit: archcity
hcoz: archcozener
chcu: archcupbearer
hdec: archdeceiver
hdef: archdefender
hdem: archdemon
hdep: archdepredator
hdes: archdespot
hdet: archdetective
hdev: archdevil
hdip: archdiplomatist
hdiv: archdivine
hdol: archdolt
hdru: archdruid
hdux: archduxe
heoz: archeozoic
esps: archespsporia
hfoe: archfoe
hfou: archfounder
hfri: archfriend
hgen: archgenethliac
hgod: archgod
hgom: archgomeral
hgov: archgovernor
hhos: archhost
hhum: archhumbug
hihe: archiheretical
imim: archimime
rchj: archjockey
chjo: archjockey
hjoc: archjockey
chkn: archknave
hkna: archknave
hlex: archlexicographer
hlut: archlute
hmil: archmilitarist
chmy: archmystagogue
hmys: archmystagogue
hmug: archmugwump
hpal: archpall
hpap: archpapist
hphy: archphylarch
hpir: archpirate
hplo: archplotter
hpoe: archpoet
hpra: archpractice
hpub: archpublican
hreg: archregent
hsat: archsatrap
hsed: archseducer
hsew: archsewer
chsy: archsynagogue
hsyn: archsynagogue
chsn: archsnob
hsno: archsnob
hspy: archspy
hspi: archspirit
chsw: archswindler
hswi: archswindler
htem: archtempter
htyr: archtyrant
chtu: archturncoat
hvag: archvagabond
hves: archvestryman
hwag: archwag
rcke: arcked
rdui: arduinite
arfv: arfvedsonite
rfve: arfvedsonite
fved: arfvedsonite
ntoj: argentojarosite
toja: argentojarosite
gynn: argynnis
yryt: argyrythrose
ufyi: argufying
haua: arhauaco
auac: arhauaco
ianr: arianrhod
anrh: arianrhod
nrho: arianrhod
rybb: arybballi
ybba: arybballi
ioia: arioian
totl: aristotle
vaip: arivaipa
arju: arjun
rkwr: arkwright
rmga: armgaunt
mgau: armgaunt
rmgu: armguard
mgua: armguard
rmpa: armpad
rmra: armrack
mscy: armscye
rmsf: armsful
rmsi: armsize
ynts: aroynts
foux: arquifoux
etez: arretez
rrgt: arrgt
oyue: arroyuelo
yuel: arroyuelo
rroj: arrojadite
ojad: arrojadite
rrte: arrtez
seny: arsenyl
rsyv: arsyversy
syve: arsyversy
artc: artcraft
rtgu: artgum
tgum: artgum
tmob: artmobile
rvej: arvejon
rzav: arzava
rzaw: arzawa
zawa: arzawa
arzr: arzrunite
rzru: arzrunite
zrun: arzrunite
rzun: arzun
sarh: asarh
sceb: ascebc
cebc: ascebc
scyr: ascyrum
citb: ascitb
itii: ascriptitii
asfa: asfast
sfet: asfetida
asgd: asgd
asgm: asgmt
sgmt: asgmt
hcak: ashcake
hkok: ashkoko
asyz: asyzygetic
kewg: askewgee
ewge: askewgee
wgee: askewgee
skoy: askoye
askr: askr
aslu: aslumber
asno: asnort
agyl: asparagyl
aspc: aspca
spca: aspca
hyxy: asphyxy
spiq: aspiquee
sahy: assahy
sbaa: assbaa
siet: assiette
nnsh: assmannshauser
oilz: assoilzie
ssse: asssembler
uaga: assuagable
suef: assuefaction
akiw: astakiwi
erix: asterixis
aryu: astrocaryum
abek: atabek
axap: ataxaphasia
xiap: ataxiaphasia
emoy: atemoya
eteh: athletehood
dyds: athodyds
ikok: atikokania
lasl: atlaslike
doax: atloidoaxoid
tmop: atmophile
tnah: atnah
lgit: attapulgite
ttnt: attntrp
tntr: attntrp
ntrp: attntrp
upem: attroupement
atve: atveen
tvee: atveen
ioem: audioemission
aufa: aufait
ufai: aufait
aufg: aufgabe
ufga: aufgabe
fgab: aufgabe
aufk: aufklarung
ufkl: aufklarung
fkla: aufklarung
auft: auftakt
auhu: auhuhu
uhuh: auhuhu
huhu: auhuhu
uldf: auldfarrantlike
aumm: aummbulatory
ummb: aummbulatory
mmbu: aummbulatory
aunj: aunjetitz
jeti: aunjetitz
titz: aunjetitz
ilav: aurilave
ipig: auripigment
hses: aurochses
aurr: aurrescu
ausg: ausgespielt
usge: ausgespielt
gesp: ausgespielt
tafr: austafrican
tecy: autecy
hnen: autobahnen
ahns: autobahns
ocoh: autocoherer
ocue: autocue
toex: autoexcitation
toig: autoignition
toji: autojigger
omow: automower
uxam: auxamylase
xamy: auxamylase
xese: auxeses
uxim: auximone
xoac: auxoaction
xoam: auxoamylase
xobo: auxobody
uxoh: auxohormone
xoho: auxohormone
uxol: auxology
xosu: auxosubstance
vadh: avadhuta
vany: avanyu
ntga: avantgarde
avdp: avdp
rhoa: averrhoa
truz: avestruz
aveu: aveugle
vyay: avyayibhava
yayi: avyayibhava
ayib: avyayibhava
yibh: avyayibhava
ibha: avyayibhava
vijj: avijja
viko: avikom
oidm: avoidment
oird: avoirdupois
avok: avoke
voue: avoue
vowt: avowter
avsh: avshar
vsha: avshar
awac: awacs
awad: awadhi
wadh: awadhi
awaf: awaft
tlal: awaitlala
awap: awapuhi
wapu: awapuhi
apuh: awapuhi
puhi: awapuhi
awav: awave
awet: aweto
weto: aweto
awig: awiggle
awiw: awiwi
awmb: awmbrie
wmbr: awmbrie
wols: awols
awun: awunctive
wunc: awunctive
axbr: axbreaker
xbre: axbreaker
axeb: axebreaker
xebr: axebreaker
axfe: axfetch
xifu: axifugal
xiop: axiopisty
axmi: axminster
xmin: axminster
axof: axofugal
xofu: axofugal
axog: axogamy
axst: axstone
xsto: axstone
axtr: axtree
xumi: axumite
axun: axunge
zase: azaserine
zath: azathioprine
azaz: azazel
zelf: azelfafage
lfaf: azelfafage
zido: azido
zilu: azilut
zinp: azinphosmethyl
ziol: aziola
azla: azlactone
zoba: azobacter
zobl: azoblack
zoeo: azoeosin
zoer: azoerythrin
zofy: azofy
zohu: azohumic
zopr: azoprotein
zoru: azorubine
zove: azovernine
zoxo: azoxonium
azra: azrael
zrae: azrael
azth: azthionium
zulm: azulmic
zury: azury
zurm: azurmalachite
zuro: azurous
baae: baaed
aaed: baaed
baah: baahling
aahl: baahling
baai: baaing
aala: baalath
babc: babcock
abeh: babehood
babh: babhan
abyd: babydom
bydo: babydom
abyf: babyfied
byfi: babyfied
abyo: babyolatry
byol: babyolatry
bkas: babkas
bloh: babloh
boen: baboen
abud: babudom
caua: bacauan
bacb: bacbakiri
acba: bacbakiri
cbak: bacbakiri
accy: baccy
llla: baccillla
kcom: backcomb
kdoo: backdoor
kfra: backframe
ckge: backgeared
kgea: backgeared
khee: backheel
kjoi: backjoint
klid: backliding
klit: backlit
krun: backrun
ksig: backsight
ktri: backtrick
bacq: bacquet
ioag: bacterioagglutinin
badc: badchan
dgir: badgir
badh: badhan
badr: badrans
aduh: baduhenna
duhe: baduhenna
uhen: baduhenna
bael: bael
etzn: baetzner
tzne: baetzner
zner: baetzner
bafa: bafaro
bafy: bafyot
afyo: bafyot
fyot: bafyot
ggyr: baggyrinkle
ggyw: baggywrinkle
gywr: baggywrinkle
aghd: baghdad
girm: bagirmi
agpl: bagplant
agpu: bagpudding
gpud: bagpudding
agsf: bagsful
bagt: bagtikan
gtik: bagtikan
agwy: bagwyn
bahe: bahera
ahia: bahiaite
iait: bahiaite
ahnu: bahnung
hnun: bahnung
ahts: bahts
baia: baianism
bayc: baycuru
idak: baidak
baie: baiera
bayg: baygall
bayh: bayhead
ayld: bayldonite
bayn: bayness
ayok: bayok
irnw: bairnwort
isak: baisakh
aitf: baitfish
bayz: bayz
ajad: bajada
jada: bajada
ajau: bajau
jocc: bajocco
joci: bajocian
joir: bajoire
ajre: bajree
jree: bajree
ajri: bajri
ajul: bajulate
ersf: bakersfield
rsfi: bakersfield
bakr: bakra
bakt: baktun
ktun: baktun
akub: bakuba
bakw: bakwiri
kwir: bakwiri
lawu: balawu
ldak: baldakin
ldaq: baldaquin
aldc: baldcrown
ldoq: baldoquin
ricw: baldricwise
icwi: baldricwise
cwis: baldricwise
ibag: balibago
alij: balija
uspl: ballhausplatz
lywr: ballywrack
ywra: ballywrack
llsy: ballsy
caan: balmacaan
mawh: balmawhapple
lnib: balnibarbi
samr: balsamroot
samw: balsamweed
lsas: balsas
sawo: balsawood
balw: balwarra
lzac: balzacian
dgap: bandgap
ndhu: bandhu
banf: banff
anff: banff
gwak: bangwaketsi
nyai: banyai
aniy: baniya
nyul: banyuls
yuls: banyuls
aniw: baniwa
njoe: banjoes
njuk: banjuke
njul: banjulele
nkri: bankrider
rupc: bankrupcy
upcy: bankrupcy
ptci: bankruptcies
ptli: bankruptlike
nerf: bannerfish
anuy: banuyo
nuyo: banuyo
banx: banxring
anxr: banxring
nxri: banxring
xrin: banxring
zais: banzais
imao: barbatimao
eyac: barbeyaceae
arff: barff
yeco: baryecoia
coia: baryecoia
aryg: baryglossia
rygl: baryglossia
rysp: barysphere
arkc: barkcutter
rkcu: barkcutter
rmbr: barmbrack
rmyb: barmybrained
mybr: barmybrained
armk: barmkin
rmki: barmkin
rmsk: barmskin
naby: barnaby
arnh: barnhardtite
duki: baronduki
barp: barpost
rabk: barrabkie
abki: barrabkie
bkie: barrabkie
mewt: bartholomewtide
ewti: bartholomewtide
ukhz: barukhzy
khzy: barukhzy
hkir: bashkir
lyks: bashlyks
shmu: bashmuric
sifu: basifugal
sigy: basigynium
ihyo: basihyoid
silw: basilweed
sirh: basirhinal
tnae: bastnaesite
ataa: bataan
taan: bataan
ybic: bathybic
ybiu: bathybius
hycu: bathycurrent
ylim: bathylimnetic
thko: bathkol
hkol: bathkol
athv: bathvillite
baty: batyphone
atuq: batuque
bauf: baufrey
aumh: baumhauerite
mhau: baumhauerite
autt: bautta
viaa: baviaantje
aant: baviaantje
ntje: baviaantje
bavo: bavoso
voso: bavoso
awbl: bawble
wble: bawble
wdsh: bawdship
bawh: bawhorse
bawk: bawke
awra: bawra
wsun: bawsunt
awty: bawty
azig: bazigar
bazz: bazzite
bbls: bbls
bchs: bchs
bdft: bdft
bdle: bdle
bdls: bdls
bdrm: bdrm
achd: beachdrops
hfro: beachfront
hwea: beachwear
ltui: bealtuinn
beap: beaproned
astd: beastdom
ufet: beaufet
aufo: beaufort
ufor: beaufort
eauj: beaujolais
aujo: beaujolais
ujol: beaujolais
jola: beaujolais
utyd: beautydom
utih: beautihood
ebiz: bebization
becq: becquerelite
ecuf: becuffed
cuib: becuiba
edfl: bedflower
dgoe: bedgoer
bedk: bedkey
edke: bedkey
edoy: bedoyo
dpad: bedpad
edsw: bedswerver
eduk: beduke
beea: beearn
beeg: beegerite
eekm: beekmantown
rbib: beerbibber
tewk: beetewk
efez: befezzed
efop: befop
efum: befume
begh: beghard
egsh: beglerbegship
egst: begster
ehig: behight
ehym: behymn
behn: behn
beic: beice
beid: beid
beyd: beydom
eigy: beigy
einn: beinness
beyr: beyrichite
irut: beirut
ejad: bejade
ejap: bejape
ejau: bejaundice
ejez: bejezebel
beji: bejig
ejuc: bejuco
juco: bejuco
bekk: bekko
ekna: beknave
mcan: belamcanda
lduq: belduque
duqu: belduque
lgiu: belgium
elkn: belknap
lkna: belknap
lleh: bellehood
owsf: bellowsful
lwav: bellwaver
wdec: belowdecks
lsir: belsire
eltc: beltcourse
ltco: beltcourse
buth: belzebuth
emaz: bemazed
mbex: bembex
emoo: bemoon
emuf: bemuffle
benb: benben
ciai: beneficiaire
enjy: benjy
enku: benkulen
benm: benmost
ncks: bentincks
benv: benvenuto
zacr: benzacridine
zalh: benzalhydrazine
zazo: benzazole
enzb: benzbitriazole
nzbi: benzbitriazole
zbit: benzbitriazole
zdia: benzdiazine
zdif: benzdifuran
ioxd: benzdioxdiazine
ioxt: benzdioxtriazine
zedr: benzedrine
nzei: benzein
neaz: benzeneazobenzene
eazo: benzeneazobenzene
zyla: benzylamine
zylp: benzylpenicillin
zyls: benzyls
zoaz: benzoazurine
oazu: benzoazurine
nzob: benzobis
nzoh: benzohydrol
oylf: benzoylformic
oyls: benzoyls
nzom: benzomorpholine
hraz: benzophenanthrazine
lfim: benzosulfimide
nzpi: benzpinacone
zpin: benzpinacone
nzpy: benzpyrene
zpyr: benzpyrene
nzth: benzthiophen
nztr: benztrioxazine
ztri: benztrioxazine
beod: beode
beow: beowulf
eowu: beowulf
owul: beowulf
beqw: beqwete
eqwe: beqwete
qwet: beqwete
wete: beqwete
rgap: bergaptene
ergf: bergfall
rggy: berggylt
ggyl: berggylt
rgsc: bergschrund
gsch: bergschrund
kovt: berkovtsi
ovts: berkovtsi
vtsi: berkovtsi
rkow: berkowitz
rloq: berloque
berv: bervie
sotm: besotment
zorn: besprizorni
besr: besra
stuu: bestuur
tuur: bestuur
telg: betelgeuse
lgeu: betelgeuse
sdas: bethesdas
etsy: betsy
wixe: betwixen
beul: beulah
eunc: beuncled
beur: beurre
eurr: beurre
bevy: bevy
bevu: bevue
bevv: bevvy
ewep: bewept
ewim: bewimple
ewiz: bewizard
bewp: bewpers
ewpe: bewpers
beww: bewwept
ewwe: bewwept
bezp: bezpopovets
ezpo: bezpopovets
zpop: bezpopovets
bhab: bhabar
bhad: bhadon
haiy: bhaiyachara
iyac: bhaiyachara
bhaj: bhajan
bhim: bhima
bhoy: bhoy
bhoj: bhojpuri
hojp: bhojpuri
ojpu: bhojpuri
jpur: bhojpuri
bhok: bhokra
otiy: bhotiya
bhow: bhowani
umij: bhumij
biab: biabo
biaj: biajaiba
ajai: biajaiba
jaib: biajaiba
elpt: bibliokelpt
pegy: bibliopegy
bibo: biborate
narn: bicentenarnaries
cycu: bicycular
ycok: bycoket
bidc: bidcock
donv: bidonville
bidp: bidpai
dpai: bidpai
bieb: bieberite
meie: biedermeier
byee: byee
biee: bieennia
byeg: byegaein
yega: byegaein
elby: bielby
ielo: bielorouss
byem: byeman
byep: byepath
yepa: byepath
bift: bifteck
ftec: bifteck
igbl: bigbloom
igbu: bigbury
gbur: bigbury
bigf: bigfoot
bigt: bigthatch
igth: bigthatch
gtha: bigthatch
ihai: bihai
byha: byhand
bihy: bihydrazine
biho: bihourly
ijas: bijasal
joux: bijoux
bijw: bijwoner
ijwo: bijwoner
jwon: bijwoner
khac: bikhaconitine
bikk: bikkurim
biko: bikol
bikr: bikram
biku: bikukulla
ikuk: bikukulla
ilaa: bilaan
lboq: bilboquet
ilgy: bilgy
ilih: bilihumin
ngsg: billingsgate
gsga: billingsgate
ywix: billywix
llji: billjim
ljim: billjim
rnir: bilskirnir
meby: bimeby
bimm: bimmeler
pthy: binapthyl
binb: binbashi
dweb: bindweb
byne: bynedestin
binh: binh
byni: bynin
nocs: binocs
ukau: binukau
binz: binzuru
inzu: binzuru
nzur: binzuru
zuru: binzuru
ioav: bioavailability
oava: bioavailability
ofee: biofeedback
ofog: biofog
ioha: biohazard
ohaz: biohazard
biok: biokinetics
bioz: biozone
rdcl: birdclapper
irdd: birddom
irdg: birdglue
rdgl: birdglue
rdyb: birdyback
rdsn: birdsnest
dsne: birdsnest
irkr: birkremite
yrls: byrls
yrru: byrrus
irsy: birsy
byrs: byrsonima
byrt: byrthynsak
hnig: birthnight
isax: bisaxillary
sdim: bisdimethylamino
bisg: bisglyoxaline
sgly: bisglyoxaline
tosm: bismutosmaltite
bysp: byspell
itbr: bitbrace
bitn: bitnet
ttiu: bittium
uacs: bivouacs
bivv: bivvy
biwa: biwa
biwi: biwinter
ywon: bywoner
bixb: bixbyite
ixby: bixbyite
xbyi: bixbyite
bixi: bixin
bizc: bizcacha
bizy: bizygomatic
bjor: bjorne
bkbn: bkbndr
kbnd: bkbndr
bndr: bkbndr
bkcy: bkcy
bkgd: bkgd
bklr: bklr
bkpr: bkpr
bkpt: bkpt
laas: blaasop
aaso: blaasop
kacr: blackacre
kbee: blackbeetle
kbod: blackbody
kbuc: blackbuck
kcoa: blackcoat
kcoc: blackcock
ckcu: blackcurrant
kcur: blackcurrant
kfee: blackfeet
kfly: blackfly
kpri: blackprint
ksna: blacksnake
laew: blaewort
lahl: blahlaut
layk: blayk
latj: blatjang
ttod: blattodea
auwb: blauwbok
uwbo: blauwbok
wbok: blauwbok
bldg: bldg
bldr: bldr
ryey: blearyeyedness
kbok: bleekbok
